npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:3000
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 3 ms
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 4 ms
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 3 ms
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 6 ms
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/media/mongoDB.c9ba40a7.svg
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 2 ms
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/chunks/568.94f124756b081f1a.js
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/chunks/570.34bb3cae476a2954.js
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 2 ms
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 3 ms
 HTTP  8/31/2026 9:56:22 AM ::1 GET /index.txt?_rsc=acgkz
 HTTP  8/31/2026 9:56:22 AM ::1 Returned 200 in 2 ms
 HTTP  8/31/2026 9:56:25 AM ::1 GET /_next/static/media/firebase.99468ab3.svg
 HTTP  8/31/2026 9:56:25 AM ::1 Returned 200 in 2 ms
 HTTP  8/31/2026 9:56:25 AM ::1 GET /_next/static/media/better-auth.ea7635e5.png
 HTTP  8/31/2026 9:56:25 AM ::1 Returned 200 in 1 ms
 HTTP  8/31/2026 9:56:25 AM ::1 GET /_next/static/media/trpc.9f32945b.png
 HTTP  8/31/2026 9:56:25 AM ::1 Returned 200 in 5 ms
 HTTP  8/31/2026 9:56:25 AM ::1 GET /_next/static/media/redis.af0207bb.png
 HTTP  8/31/2026 9:56:25 AM ::1 Returned 200 in 2 ms
 HTTP  8/31/2026 9:56:25 AM ::1 GET /_next/static/media/git.3337db5a.png
 HTTP  8/31/2026 9:56:25 AM ::1 GET /_next/static/media/github.f3eae284.png
 HTTP  8/31/2026 9:56:25 AM ::1 Returned 200 in 4 ms
 HTTP  8/31/2026 9:56:25 AM ::1 Returned 200 in 4 ms
 HTTP  8/31/2026 9:56:25 AM ::1 GET /_next/static/media/github-actions.9b313e9b.png
 HTTP  8/31/2026 9:56:25 AM ::1 Returned 200 in 2 ms
 HTTP  8/31/2026 9:56:25 AM ::1 GET /_next/static/media/monorepo.b59af347.png
 HTTP  8/31/2026 9:56:25 AM ::1 Returned 200 in 1 ms
 HTTP  8/31/2026 9:56:25 AM ::1 GET /_next/static/media/docker.888df998.png
 HTTP  8/31/2026 9:56:25 AM ::1 Returned 200 in 2 ms
 HTTP  8/31/2026 9:56:25 AM ::1 GET /_next/static/media/linux.6dd6ca83.svg
 HTTP  8/31/2026 9:56:25 AM ::1 Returned 200 in 3 ms
 HTTP  8/31/2026 9:56:25 AM ::1 GET /_next/static/media/jenkins.e4e98d9c.png
 HTTP  8/31/2026 9:56:25 AM ::1 Returned 200 in 2 ms
 HTTP  8/31/2026 9:56:25 AM ::1 GET /projects/ethiopian-shipping-and-logistics.txt?_rsc=acgkz
 HTTP  8/31/2026 9:56:25 AM ::1 GET /projects/babogaya-maritime-and-logisics-academy.txt?_rsc=acgkz
 HTTP  8/31/2026 9:56:25 AM ::1 GET /projects/koket-investment.txt?_rsc=acgkz
 HTTP  8/31/2026 9:56:25 AM ::1 GET /projects/customer-visit-management-(cvm)-%E2%80%93-smart-branch-system.txt?_rsc=acgkz
 HTTP  8/31/2026 9:56:25 AM ::1 GET /projects/voice-guidance-%E2%80%93-atm-accessibility-system.txt?_rsc=acgkz
 HTTP  8/31/2026 9:56:25 AM ::1 Returned 200 in 9 ms
 HTTP  8/31/2026 9:56:25 AM ::1 Returned 200 in 8 ms
 HTTP  8/31/2026 9:56:25 AM ::1 Returned 200 in 5 ms
 HTTP  8/31/2026 9:56:25 AM ::1 Returned 200 in 5 ms
 HTTP  8/31/2026 9:56:25 AM ::1 Returned 200 in 5 ms
 HTTP  8/31/2026 9:56:26 AM ::1 GET /_next/static/chunks/app/projects/%5Bslug%5D/page-d16a59b7851dc6cd.js
 HTTP  8/31/2026 9:56:26 AM ::1 GET /projects/minte-&-geni-%E2%80%93-wedding-website.txt?_rsc=acgkz
 HTTP  8/31/2026 9:56:26 AM ::1 GET /projects/the-remedial-tutorial-%E2%80%93-telegram-bot.txt?_rsc=acgkz
 HTTP  8/31/2026 9:56:26 AM ::1 GET /projects/jewelry-shop-%E2%80%93-management-dashboard.txt?_rsc=acgkz
 HTTP  8/31/2026 9:56:26 AM ::1 GET /projects/finot-hulentenawi-lemat.txt?_rsc=acgkz
 HTTP  8/31/2026 9:56:26 AM ::1 Returned 200 in 15 ms
 HTTP  8/31/2026 9:56:26 AM ::1 Returned 200 in 14 ms
 HTTP  8/31/2026 9:56:26 AM ::1 Returned 200 in 10 ms
 HTTP  8/31/2026 9:56:26 AM ::1 Returned 200 in 4 ms
 HTTP  8/31/2026 9:56:26 AM ::1 Returned 200 in 5 ms
